p1,r1,y1,p2,r2,y2,t_ms
0.15,9.55,-108.92,-1.28,176.54,139.68,262225
0.12,9.49,-108.92,-1.25,176.49,139.69,262241
0.09,9.52,-108.93,-1.27,176.49,139.70,262257
0.08,9.51,-108.94,-1.25,176.49,139.71,262273
0.06,9.52,-108.95,-1.27,176.51,139.72,262289
0.04,9.51,-108.96,-1.28,176.54,139.73,262305
0.05,9.51,-108.97,-1.29,176.53,139.74,262321
0.05,9.51,-108.98,-1.29,176.54,139.75,262337
0.04,9.51,-108.99,-1.29,176.51,139.76,262353
0.03,9.51,-109.00,-1.28,176.48,139.77,262369
0.02,9.54,-109.00,-1.26,176.48,139.78,262385
0.04,9.53,-109.01,-1.25,176.48,139.79,262401
0.04,9.50,-109.02,-1.24,176.50,139.80,262417
0.04,9.51,-109.03,-1.24,176.50,139.81,262433
0.03,9.50,-109.04,-1.23,176.49,139.82,262449
0.03,9.50,-109.05,-1.23,176.46,139.83,262465
0.02,9.49,-109.06,-1.22,176.47,139.84,262481
0.01,9.50,-109.07,-1.22,176.46,139.85,262497
0.01,9.53,-109.08,-1.23,176.47,139.86,262513
0.02,9.51,-109.08,-1.23,176.47,139.87,262529
0.03,9.53,-109.09,-1.22,176.47,139.88,262545
0.00,9.53,-109.10,-1.23,176.46,139.89,262561
-0.00,9.53,-109.11,-1.24,176.46,139.90,262577
0.01,9.53,-109.12,-1.23,176.47,139.91,262593
0.02,9.51,-109.13,-1.22,176.45,139.92,262609
0.03,9.51,-109.14,-1.22,176.45,139.93,262625
0.03,9.52,-109.15,-1.22,176.43,139.94,262641
0.04,9.51,-109.16,-1.23,176.44,139.95,262657
0.04,9.52,-109.17,-1.23,176.43,139.96,262673
0.05,9.51,-109.18,-1.22,176.43,139.97,262689
0.05,9.50,-109.19,-1.22,176.44,139.98,262705
0.04,9.50,-109.19,-1.22,176.45,139.99,262721
0.02,9.51,-109.20,-1.23,176.45,140.01,262737
0.03,9.51,-109.21,-1.22,176.44,140.01,262753
0.03,9.51,-109.22,-1.23,176.44,140.02,262769
0.04,9.51,-109.23,-1.25,176.44,140.04,262785
0.04,9.51,-109.24,-1.25,176.44,140.05,262801
0.03,9.51,-109.25,-1.25,176.43,140.06,262817
0.01,9.52,-109.26,-1.24,176.42,140.07,262833
0.01,9.52,-109.27,-1.24,176.41,140.08,262849
0.00,9.52,-109.28,-1.23,176.41,140.09,262865
0.00,9.52,-109.29,-1.23,176.41,140.10,262881
0.00,9.52,-109.29,-1.23,176.42,140.11,262897
0.01,9.51,-109.30,-1.24,176.43,140.12,262913
0.02,9.51,-109.31,-1.25,176.41,140.13,262929
0.03,9.52,-109.32,-1.24,176.42,140.14,262945
0.03,9.52,-109.33,-1.24,176.43,140.15,262961
0.03,9.52,-109.34,-1.23,176.43,140.16,262977
0.02,9.51,-109.35,-1.23,176.43,140.17,262993
0.02,9.51,-109.36,-1.24,176.43,140.18,263009
0.03,9.52,-109.37,-1.24,176.42,140.19,263025
0.03,9.52,-109.38,-1.25,176.42,140.20,263041
0.05,9.51,-109.38,-1.26,176.42,140.21,263057
0.05,9.52,-109.39,-1.26,176.43,140.22,263073
0.05,9.52,-109.40,-1.27,176.44,140.23,263089
0.04,9.52,-109.41,-1.26,176.45,140.24,263105
0.03,9.52,-109.42,-1.26,176.44,140.26,263121
0.03,9.52,-109.43,-1.26,176.44,140.27,263137
0.03,9.52,-109.44,-1.26,176.44,140.28,263153
0.03,9.52,-109.45,-1.27,176.44,140.29,263169
0.03,9.52,-109.46,-1.27,176.44,140.30,263185
0.02,9.53,-109.47,-1.26,176.45,140.31,263201
0.01,9.52,-109.47,-1.25,176.45,140.32,263217
0.01,9.52,-109.48,-1.24,176.45,140.33,263233
-0.00,9.53,-109.49,-1.24,176.44,140.34,263249
-0.00,9.53,-109.50,-1.24,176.44,140.35,263265
-0.01,9.53,-109.51,-1.25,176.44,140.36,263281
-0.00,9.52,-109.52,-1.25,176.44,140.37,263297
-0.01,9.52,-109.53,-1.25,176.44,140.38,263313
-0.00,9.52,-109.54,-1.25,176.45,140.39,263329
-0.00,9.52,-109.55,-1.25,176.45,140.40,263345
-0.01,9.52,-109.55,-1.25,176.45,140.41,263361
-0.00,9.52,-109.56,-1.26,176.45,140.42,263377
0.00,9.52,-109.57,-1.27,176.45,140.44,263393
0.01,9.51,-109.58,-1.27,176.45,140.45,263409
0.02,9.51,-109.59,-1.28,176.45,140.46,263425
0.03,9.51,-109.60,-1.28,176.46,140.47,263441
0.02,9.52,-109.61,-1.28,176.46,140.48,263457
0.02,9.52,-109.62,-1.28,176.46,140.49,263473
0.02,9.52,-109.63,-1.28,176.47,140.50,263489
0.02,9.51,-109.63,-1.28,176.48,140.51,263505
0.01,9.52,-109.64,-1.28,176.47,140.52,263521
0.01,9.52,-109.65,-1.28,176.47,140.53,263537
-0.00,9.53,-109.66,-1.28,176.47,140.54,263553
-0.00,9.53,-109.67,-1.28,176.47,140.55,263569
-0.00,9.53,-109.68,-1.27,176.47,140.56,263585
-0.01,9.53,-109.69,-1.27,176.47,140.57,263601
-0.00,9.53,-109.70,-1.27,176.47,140.58,263617
0.00,9.53,-109.70,-1.27,176.47,140.59,263633
0.01,9.53,-109.71,-1.26,176.47,140.60,263649
0.02,9.53,-109.72,-1.26,176.47,140.61,263665
0.02,9.52,-109.73,-1.26,176.47,140.62,263681
0.02,9.52,-109.74,-1.26,176.47,140.63,263697
0.02,9.52,-109.75,-1.26,176.47,140.64,263713
0.02,9.52,-109.76,-1.26,176.48,140.65,263729
0.01,9.52,-109.77,-1.27,176.48,140.66,263745
0.02,9.52,-109.78,-1.27,176.48,140.67,263761
0.02,9.52,-109.78,-1.27,176.48,140.68,263777
0.02,9.52,-109.79,-1.27,176.48,140.69,263793
0.02,9.53,-109.80,-1.28,176.48,140.70,263809
0.02,9.53,-109.81,-1.28,176.49,140.71,263825
0.03,9.53,-109.82,-1.28,176.48,140.72,263841
0.04,9.53,-109.83,-1.27,176.48,140.74,263857
0.04,9.53,-109.84,-1.27,176.48,140.75,263873
0.04,9.53,-109.85,-1.27,176.48,140.76,263889
0.04,9.53,-109.85,-1.27,176.48,140.77,263905
0.04,9.53,-109.86,-1.27,176.48,140.78,263921
0.04,9.53,-109.87,-1.27,176.48,140.79,263937
0.04,9.53,-109.88,-1.27,176.49,140.80,263953
0.04,9.53,-109.89,-1.27,176.49,140.81,263969
0.04,9.53,-109.90,-1.27,176.49,140.82,263985
0.04,9.53,-109.91,-1.27,176.49,140.83,264001
0.04,9.53,-109.92,-1.27,176.49,140.84,264017
0.04,9.52,-109.93,-1.27,176.48,140.85,264033
0.04,9.52,-109.93,-1.27,176.49,140.86,264049
0.05,9.52,-109.94,-1.27,176.49,140.87,264065
0.05,9.52,-109.95,-1.26,176.49,140.88,264081
0.05,9.52,-109.96,-1.26,176.49,140.89,264097
0.05,9.53,-109.97,-1.26,176.49,140.90,264113
0.05,9.53,-109.98,-1.27,176.49,140.91,264129
0.05,9.52,-109.99,-1.27,176.49,140.92,264145
0.04,9.53,-110.00,-1.27,176.49,140.93,264161
0.05,9.53,-110.00,-1.27,176.48,140.94,264177
0.05,9.53,-110.01,-1.27,176.48,140.95,264193
0.06,9.53,-110.02,-1.27,176.48,140.96,264209
0.05,9.53,-110.03,-1.27,176.48,140.98,264225
0.05,9.53,-110.04,-1.27,176.47,140.98,264241
0.05,9.53,-110.05,-1.27,176.47,141.00,264257
0.05,9.52,-110.06,-1.27,176.48,141.01,264273
0.05,9.57,-110.06,-1.22,176.53,141.02,264289
-0.29,9.02,-110.08,-0.77,177.20,141.06,264305
-0.80,8.66,-110.26,-0.43,162.02,141.29,264321
-0.78,8.82,-110.73,-0.45,146.77,141.81,264337
-0.67,8.87,-111.77,-0.37,132.73,143.00,264353
-0.14,8.69,-113.69,-0.50,118.97,145.05,264369
1.14,8.14,-115.81,-1.42,119.15,146.80,264385
0.83,9.58,-115.94,-1.26,119.49,146.82,264401
0.70,10.02,-115.91,-1.23,121.04,146.81,264417
0.66,10.00,-115.92,-1.25,122.70,146.82,264433
0.78,10.48,-116.09,-1.26,108.40,147.07,264449
1.15,12.11,-116.74,-0.70,109.15,147.91,264465
2.39,14.45,-117.93,-0.09,108.80,149.27,264481
3.54,17.81,-119.04,-0.09,106.02,150.25,264497
3.57,21.74,-119.35,0.01,103.46,150.38,264513
3.43,25.09,-118.93,0.01,101.68,149.84,264529
3.41,28.59,-118.32,-0.33,99.87,149.18,264545
3.39,32.82,-117.63,-0.70,97.09,148.39,264561
3.24,37.44,-116.74,-1.37,93.99,147.36,264577
2.65,42.00,-115.73,-1.62,91.41,146.26,264593
1.92,46.61,-115.02,-1.26,88.97,145.56,264609
1.51,51.47,-114.70,-0.90,86.06,145.27,264625
1.93,56.07,-114.67,-1.29,83.25,145.20,264641
2.34,59.83,-114.65,-1.55,81.24,145.16,264657
2.45,63.06,-114.75,-1.74,79.67,145.24,264673
2.40,65.84,-114.89,-1.91,78.52,145.36,264689
2.44,67.87,-114.97,-1.86,78.29,145.43,264705
2.64,68.97,-115.03,-1.87,78.74,145.51,264721
2.76,69.85,-115.07,-2.00,79.21,145.54,264737
2.73,71.01,-115.03,-2.26,79.31,145.46,264753
2.57,72.35,-114.95,-2.57,79.39,145.34,264769
2.38,73.43,-114.85,-2.91,79.71,145.20,264785
2.21,74.21,-114.73,-3.30,80.30,145.04,264801
2.11,75.11,-114.67,-3.49,80.93,144.99,264817
2.11,76.11,-114.68,-3.20,81.39,145.03,264833
2.41,76.74,-114.72,-3.04,82.03,145.09,264849
2.69,76.58,-114.72,-2.95,83.45,145.11,264865
2.80,75.79,-114.79,-2.98,85.38,145.23,264881
2.90,74.58,-114.95,-2.90,88.03,145.42,264897
3.21,72.27,-115.12,-2.73,91.70,145.66,264913
3.74,69.25,-115.23,-2.56,95.83,145.83,264929
4.27,66.05,-115.09,-2.32,100.22,145.77,264945
4.98,62.60,-114.97,-1.87,105.05,145.81,264961
5.72,58.31,-115.14,-1.15,110.64,146.17,264977
6.44,53.06,-115.48,-0.40,117.06,146.71,264993
7.40,47.39,-115.89,0.30,123.59,147.29,265009
8.36,41.90,-116.09,1.02,129.68,147.65,265025
9.29,36.90,-116.13,1.54,135.23,147.85,265041
10.17,32.42,-116.11,1.97,140.42,148.00,265057
11.04,27.60,-116.04,2.27,145.76,148.06,265073
11.87,22.74,-115.82,2.33,151.07,147.98,265089
12.26,18.53,-115.55,2.30,155.64,147.80,265105
12.73,15.21,-115.06,1.95,159.19,147.36,265121
13.07,13.38,-114.46,1.07,146.33,146.78,265137
13.30,12.08,-113.76,0.08,133.42,146.08,265153
12.96,10.94,-113.09,-0.80,121.01,145.39,265169
12.21,8.94,-112.49,-2.02,125.10,144.77,265185
11.22,6.35,-112.09,-3.03,129.61,144.34,265201
10.51,3.97,-111.72,-3.71,133.49,143.94,265217
10.53,1.92,-111.17,-4.27,121.79,143.37,265233
10.53,0.45,-110.57,-4.52,110.30,142.82,265249
10.32,-1.15,-110.22,-4.84,99.65,142.55,265265
9.96,-3.65,-110.24,-5.56,90.17,142.60,265281
9.63,-6.85,-110.36,-6.39,81.23,142.71,265297
9.62,-9.99,-110.34,-7.16,72.01,142.66,265313
9.78,-11.84,-110.10,-7.69,62.06,142.38,265329
9.85,-13.21,-109.63,-7.97,52.42,141.89,265345
9.69,-14.96,-109.09,-8.20,43.70,141.37,265361
9.41,-17.19,-108.54,-8.62,35.72,140.82,265377
9.15,-19.61,-108.04,-8.85,27.96,140.34,265393
9.07,-21.38,-107.56,-8.79,19.61,139.87,265409
9.37,-22.28,-106.93,-8.74,10.97,139.29,265425
9.55,-22.68,-106.39,-8.63,2.24,138.80,265441
9.52,-22.84,-106.04,-8.59,-6.27,138.50,265457
9.33,-23.03,-105.89,-8.62,-14.46,138.39,265473
9.07,-23.67,-105.89,-8.65,-21.96,138.42,265489
8.75,-24.81,-106.04,-8.71,-28.67,138.59,265505
8.42,-26.62,-106.26,-8.90,-34.50,138.82,265521
8.20,-28.76,-106.50,-9.33,-39.89,139.07,265537
8.04,-30.72,-106.76,-9.85,-45.36,139.32,265553
7.94,-32.18,-106.99,-10.30,-51.33,139.52,265569
8.04,-32.85,-107.09,-10.62,-57.81,139.60,265585
8.16,-33.17,-107.09,-10.83,-64.08,139.60,265601
8.20,-33.55,-107.12,-10.98,-70.12,139.63,265617
8.19,-33.85,-107.12,-11.06,-76.10,139.63,265633
8.18,-33.90,-107.11,-11.08,-82.04,139.63,265649
8.12,-33.70,-107.10,-11.08,-88.04,139.62,265665
8.05,-33.38,-107.09,-11.05,-93.86,139.61,265681
7.87,-33.15,-107.12,-10.97,-99.32,139.65,265697
7.77,-33.21,-107.15,-10.98,-104.32,139.67,265713
7.72,-33.57,-107.18,-11.00,-108.83,139.72,265729
7.66,-34.16,-107.19,-10.98,-113.30,139.71,265745
7.80,-33.92,-107.13,-11.13,-118.58,139.64,265761
8.08,-32.41,-107.02,-11.30,-124.60,139.51,265777
8.07,-30.72,-106.94,-11.26,-130.46,139.42,265793
7.92,-29.17,-106.89,-11.05,-136.05,139.35,265809
7.93,-27.78,-106.75,-10.83,-141.58,139.19,265825
8.10,-26.11,-106.50,-10.41,-147.51,138.95,265841
8.73,-23.28,-106.25,-10.13,-154.49,138.73,265857
10.37,-18.98,-105.97,-10.44,-162.75,138.45,265873
11.59,-13.19,-105.64,-10.23,-171.91,138.15,265889
12.11,-6.47,-105.42,-9.63,-181.63,137.95,265905
12.39,0.04,-105.28,-9.31,-175.80,137.82,265921
11.83,4.42,-105.28,-9.81,-167.87,137.72,265937
11.38,6.61,-105.39,-10.27,-157.85,137.84,265953
10.96,7.48,-105.89,-10.37,-147.03,138.38,265969
10.84,7.83,-106.56,-10.46,-136.27,139.07,265985
11.01,8.26,-107.25,-10.53,-125.83,139.81,266001
11.16,9.24,-108.14,-10.67,-116.30,140.78,266017
11.15,10.95,-109.32,-11.07,-107.81,141.98,266033
11.20,12.67,-110.58,-11.81,-99.63,143.18,266049
11.13,13.80,-111.69,-12.43,-106.20,144.17,266065
10.97,14.67,-112.37,-13.05,-112.78,144.68,266081
10.58,16.86,-112.67,-13.87,-105.56,144.85,266097
9.97,21.01,-112.88,-15.06,-100.41,144.90,266113
9.25,26.61,-113.14,-16.41,-96.57,144.99,266129
8.00,32.41,-113.51,-17.09,-92.75,145.20,266145
6.65,36.88,-113.86,-16.83,-87.26,145.28,266161
6.11,39.61,-113.88,-16.05,-80.94,145.29,266177
6.28,42.36,-113.89,-15.92,-75.07,145.29,266193
6.54,45.32,-113.89,-15.82,-69.42,145.26,266209
6.47,48.23,-113.91,-15.27,-63.93,145.28,266225
6.45,51.33,-113.94,-14.78,-59.02,145.29,266241
6.40,54.50,-113.96,-14.37,-54.32,145.28,266257
6.17,57.35,-113.95,-13.95,-49.49,145.23,266273
6.08,59.98,-113.90,-13.69,-44.51,145.16,266289
6.03,62.26,-113.86,-13.48,-39.42,145.10,266305
5.81,64.20,-113.83,-13.09,-34.10,145.06,266321
5.57,65.75,-113.84,-12.53,-28.56,145.08,266337
5.52,67.06,-113.87,-12.07,-23.24,145.11,266353
5.53,68.86,-113.85,-11.86,-18.75,145.07,266369
5.39,71.25,-113.81,-11.73,-14.85,144.99,266385
5.16,73.62,-113.77,-11.55,-10.90,144.93,266401
5.00,75.39,-113.74,-11.30,-6.50,144.88,266417
4.88,76.60,-113.72,-11.13,-1.82,144.85,266433
4.72,77.41,-113.70,-10.96,3.04,144.81,266449
4.56,78.13,-113.66,-10.84,7.81,144.76,266465
4.38,78.90,-113.62,-10.72,12.37,144.71,266481
4.21,79.93,-113.57,-10.66,16.45,144.64,266497
4.00,81.19,-113.54,-10.59,20.27,144.59,266513
3.85,82.25,-113.54,-10.49,24.15,144.56,266529
3.73,83.12,-113.54,-10.36,28.06,144.56,266545
3.64,83.83,-113.56,-10.17,32.05,144.56,266561
3.61,84.31,-113.57,-9.95,36.03,144.58,266577
3.58,84.75,-113.59,-9.72,39.89,144.60,266593
3.54,85.28,-113.59,-9.56,43.46,144.59,266609
3.46,85.96,-113.57,-9.55,46.67,144.55,266625
3.24,86.75,-113.55,-9.56,49.83,144.50,266641
3.01,87.13,-113.54,-9.41,53.39,144.48,266657
2.91,87.38,-113.48,-9.30,56.66,144.41,266673
2.75,88.39,-113.41,-9.34,59.00,144.30,266689
2.52,89.77,-113.36,-9.30,61.14,144.22,266705
2.45,90.64,-113.36,-9.10,63.80,144.23,266721
2.52,90.72,-113.43,-8.87,67.02,144.32,266737
2.59,90.08,-113.52,-8.63,70.81,144.42,266753
2.62,88.96,-113.56,-8.44,74.89,144.48,266769
2.60,87.78,-113.57,-8.34,78.87,144.50,266785
2.50,86.52,-113.57,-8.24,82.94,144.50,266801
2.39,85.07,-113.56,-8.16,87.06,144.50,266817
2.28,83.74,-113.51,-8.10,90.85,144.45,266833
2.17,82.86,-113.47,-8.08,94.10,144.41,266849
2.07,82.21,-113.42,-8.00,97.17,144.35,266865
2.03,81.57,-113.34,-7.82,100.07,144.25,266881
2.05,81.21,-113.14,-7.68,102.47,144.04,266897
2.06,81.19,-112.91,-7.59,104.55,143.82,266913
2.07,81.21,-112.72,-7.51,106.55,143.63,266929
2.06,80.97,-112.56,-7.44,108.85,143.48,266945
2.12,79.92,-112.50,-7.25,112.15,143.48,266961
2.39,77.30,-112.67,-6.96,117.05,143.78,266977
2.79,72.89,-113.15,-6.62,123.66,144.41,266993
3.26,66.99,-113.83,-6.10,131.63,145.24,267009
3.88,60.21,-114.51,-5.29,140.26,146.08,267025
4.75,52.81,-115.10,-4.22,149.34,146.87,267041
5.81,44.90,-115.63,-3.06,158.60,147.62,267057
6.95,37.05,-116.08,-2.06,167.29,148.28,267073
7.93,30.37,-116.34,-1.37,174.40,148.67,267089
8.64,25.55,-116.31,-1.20,179.54,148.71,267105
9.13,22.90,-116.06,-1.84,182.51,148.46,267121
9.39,22.07,-115.71,-2.79,168.87,148.07,267137
8.94,22.04,-115.33,-3.35,155.21,147.64,267153
7.83,21.57,-115.00,-3.54,157.47,147.24,267169
6.92,20.07,-114.53,-3.53,160.72,146.73,267185
6.54,17.94,-113.92,-3.38,164.48,146.13,267201
6.69,16.02,-113.38,-3.80,167.77,145.69,267217
7.15,15.14,-113.12,-4.50,170.05,145.45,267233
7.08,14.69,-112.98,-4.67,171.95,145.33,267249
6.90,13.94,-112.93,-4.68,174.08,145.29,267265
6.89,12.66,-112.82,-4.59,176.69,145.20,267281
6.88,10.75,-112.74,-4.38,179.94,145.17,267297
6.83,8.15,-112.71,-4.24,183.81,145.20,267313
6.81,5.10,-112.73,-4.16,173.06,145.30,267329
6.87,1.87,-112.89,-4.31,162.76,145.52,267345
7.02,-1.31,-113.12,-4.75,152.59,145.78,267361
7.20,-4.07,-113.31,-5.27,142.07,145.98,267377
7.36,-5.91,-113.45,-5.53,131.04,146.12,267393
7.51,-7.09,-113.55,-5.65,119.86,146.24,267409
7.50,-7.96,-113.67,-5.77,108.99,146.39,267425
7.26,-9.29,-113.93,-6.01,98.92,146.66,267441
7.03,-11.16,-114.28,-6.14,89.67,147.04,267457
6.92,-13.70,-114.67,-6.37,81.33,147.45,267473
6.83,-16.86,-115.04,-6.72,73.85,147.83,267489
6.79,-20.29,-115.37,-7.05,66.87,148.18,267505
6.77,-23.73,-115.70,-7.32,60.11,148.54,267521
6.88,-27.15,-115.95,-7.58,53.59,148.80,267537
7.00,-30.73,-116.04,-7.71,47.34,148.91,267553
7.00,-33.99,-116.05,-7.72,41.15,148.96,267569
7.00,-36.19,-116.10,-7.99,34.43,149.03,267585
6.93,-37.81,-116.23,-8.38,27.23,149.15,267601
6.72,-39.17,-116.37,-8.67,20.08,149.28,267617
6.67,-40.86,-116.48,-8.79,13.43,149.39,267633
6.84,-42.99,-116.49,-8.78,7.37,149.41,267649
7.18,-44.84,-116.37,-8.63,1.14,149.31,267665
7.46,-45.51,-116.20,-8.54,-5.71,149.18,267681
7.58,-45.81,-116.07,-8.54,-12.58,149.07,267697
7.53,-46.42,-116.00,-8.55,-18.89,149.01,267713
7.44,-47.19,-115.96,-8.48,-25.06,148.98,267729
7.54,-47.44,-115.95,-8.57,-31.50,148.97,267745
7.58,-47.26,-115.87,-8.54,-38.20,148.88,267761
7.74,-47.22,-115.74,-8.56,-44.30,148.74,267777
8.04,-48.49,-115.48,-8.40,-48.72,148.52,267793
8.55,-51.12,-115.11,-8.13,-51.79,148.21,267809
9.22,-54.30,-114.58,-7.67,-54.42,147.78,267825
9.74,-56.28,-114.12,-7.20,-57.87,147.44,267841
9.94,-57.11,-113.81,-6.76,-62.25,147.21,267857
9.88,-57.13,-113.62,-6.44,-67.28,147.06,267873
9.67,-56.50,-113.53,-6.28,-72.77,146.99,267889
9.37,-55.00,-113.55,-6.34,-79.02,147.00,267905
9.11,-52.76,-113.61,-6.63,-85.86,147.01,267921
8.87,-50.07,-113.67,-6.98,-93.01,147.01,267937
8.59,-47.04,-113.73,-7.15,-100.45,147.02,267953
8.39,-43.50,-113.82,-7.24,-108.13,147.07,267969
8.56,-40.03,-113.94,-7.54,-115.38,147.16,267985
8.78,-37.20,-114.07,-7.62,-121.82,147.29,268001
9.00,-34.66,-114.34,-7.24,-128.02,147.60,268017
9.68,-31.74,-114.77,-6.60,-134.55,148.10,268033
10.90,-28.76,-115.17,-5.96,-140.83,148.58,268049
12.22,-26.19,-115.48,-5.18,-146.52,149.00,268065
13.70,-23.84,-115.71,-4.43,-151.94,149.35,268081
15.64,-21.19,-115.87,-3.93,-157.60,149.65,268097
17.71,-17.80,-116.02,-3.31,-163.82,149.96,268113
19.68,-13.85,-116.28,-2.52,-170.15,150.40,268129
21.50,-9.98,-116.70,-1.71,-176.38,150.99,268145
23.35,-6.33,-117.12,-1.04,-182.35,151.57,268161
25.08,-2.77,-117.42,-0.64,-188.25,152.00,268177
26.55,0.67,-117.55,-0.56,-178.87,152.24,268193
26.96,3.46,-117.59,-0.95,-169.06,152.31,268209
27.20,5.75,-117.66,-1.54,-158.88,152.45,268225
27.62,7.57,-117.94,-2.18,-148.49,152.79,268241
28.15,8.68,-118.29,-2.69,-137.86,153.20,268257
28.81,9.10,-118.50,-3.22,-126.95,153.48,268273
29.92,9.35,-118.57,-4.17,-116.22,153.62,268289
31.07,9.95,-118.56,-5.33,-106.04,153.69,268305
31.58,10.78,-118.62,-6.24,-96.21,153.81,268321
31.89,11.51,-118.79,-7.35,-86.57,154.02,268337
32.15,11.98,-118.99,-8.54,-77.03,154.25,268353
32.27,12.41,-119.20,-9.83,-67.75,154.47,268369
32.38,13.14,-119.42,-11.26,-59.08,154.67,268385
32.56,14.09,-119.53,-12.87,-50.96,154.73,268401
32.71,15.30,-119.54,-14.35,-43.09,154.73,268417
32.74,16.32,-119.58,-15.45,-35.12,154.76,268433
32.74,16.64,-119.63,-16.22,-26.69,154.82,268449
33.03,16.45,-119.62,-16.90,-18.13,154.84,268465
33.50,16.38,-119.53,-17.51,-9.95,154.81,268481
34.07,16.91,-119.58,-18.21,-2.39,154.98,268497
34.74,17.77,-119.90,-19.05,4.46,155.41,268513
35.23,18.94,-120.40,-19.95,10.73,155.96,268529
35.46,19.99,-120.98,-20.99,16.96,156.57,268545
35.41,19.88,-121.65,-22.20,24.22,157.23,268561
35.28,19.46,-122.28,-23.18,31.47,157.85,268577
34.90,18.65,-122.84,-23.84,38.79,158.40,268593
34.53,17.84,-123.33,-24.35,46.06,158.89,268609
34.19,16.79,-123.74,-25.09,53.35,159.29,268625
33.92,15.39,-124.08,-26.22,60.76,159.60,268641
33.43,14.16,-124.37,-27.32,67.59,159.84,268657
32.37,13.54,-124.53,-28.03,73.73,159.94,268673
31.39,13.76,-124.75,-29.03,79.04,160.15,268689
30.83,14.43,-125.24,-30.62,83.91,160.62,268705
30.07,14.46,-125.91,-32.08,89.12,161.18,268721
28.99,13.90,-126.52,-33.11,94.70,161.68,268737
28.00,13.42,-127.05,-34.14,99.84,162.11,268753
27.27,13.21,-127.43,-35.81,104.21,162.30,268769
26.33,13.32,-127.40,-37.24,108.00,162.02,268785
24.88,14.85,-127.06,-38.14,110.63,161.52,268801
23.18,17.30,-126.96,-38.99,112.69,161.36,268817
21.29,19.21,-127.46,-39.96,115.35,161.78,268833
19.59,19.83,-128.32,-41.00,118.93,162.45,268849
18.01,19.84,-129.04,-41.99,122.53,162.95,268865
16.44,20.36,-129.65,-42.98,125.66,163.38,268881
14.90,20.90,-130.35,-43.89,128.87,163.90,268897
13.40,20.51,-131.04,-44.55,132.70,164.38,268913
12.01,19.58,-131.45,-45.07,136.61,164.55,268929
10.54,19.46,-131.55,-45.28,139.61,164.45,268945
8.95,19.93,-131.52,-45.27,142.24,164.24,268961
7.35,19.74,-131.36,-45.22,145.37,163.87,268977
5.70,19.33,-130.93,-45.40,148.48,163.23,268993
3.79,19.93,-130.68,-45.59,150.91,162.85,269009
1.68,21.00,-130.96,-45.22,153.17,163.04,269025
-0.02,21.77,-131.68,-44.30,155.71,163.69,269041
-1.05,21.24,-132.49,-43.20,158.82,164.40,269057
-1.74,19.89,-133.02,-42.09,162.03,164.81,269073
-2.47,19.19,-133.13,-41.18,164.48,164.77,269089
-3.58,19.61,-133.15,-40.40,166.27,164.70,269105
-4.96,20.15,-133.38,-39.53,168.04,164.83,269121
-6.26,20.20,-133.72,-38.49,170.14,165.05,269137
-7.41,19.65,-133.99,-37.42,172.57,165.20,269153
-8.50,18.99,-134.12,-36.44,174.83,165.18,269169
-9.68,18.74,-134.11,-35.73,176.73,165.04,269185
-11.14,18.62,-134.15,-35.12,178.59,164.93,269201
-12.81,18.15,-134.27,-34.47,180.76,164.88,269217
-14.47,17.48,-134.37,-34.01,182.87,164.78,269233
